,train-auc-mean,train-auc-std,test-auc-mean,test-auc-std
293,0.9999785,1.3139634698132184e-05,0.9435092,0.0047701942685806
294,0.9999803,1.195867885681338e-05,0.9435294999999998,0.0047983049559193
295,0.999981,1.1789826122545963e-05,0.9434382999999998,0.0047906528793057
296,0.9999826,1.0790736768150527e-05,0.9434032,0.0047697052906862
297,0.9999828,1.0787029248106983e-05,0.9434304,0.0047584694219885
298,0.9999837,1.019852930574294e-05,0.9433398,0.0047437761920225
299,0.9999841,1.0153324578679866e-05,0.9433244,0.0047618357426521
300,0.9999842,9.997999799956774e-06,0.943299,0.0047605805528317
301,0.9999847,9.685556256610007e-06,0.9433694,0.004781730590487
302,0.9999851,9.52312973763726e-06,0.9433733,0.004793195782565
303,0.9999856,9.43610088965944e-06,0.9433386,0.0047744710743704
304,0.9999859,9.6171721415395e-06,0.9433228,0.0047672320228828
305,0.9999863,9.252567211310653e-06,0.9432877000000002,0.004752416691537
306,0.9999869,9.438749917225094e-06,0.9432932,0.0046621795289328
307,0.999987,9.539392014163286e-06,0.9433129,0.0046819914021706
308,0.9999873,9.230926280723096e-06,0.9432888,0.004603795125763
309,0.9999882,8.61162005664656e-06,0.9433016,0.0045507766633839
310,0.9999885,8.546929273151195e-06,0.9432915,0.0045348167824069
311,0.999989,8.449852069725406e-06,0.9432696,0.0045621648194689
312,0.9999894,7.95235814084321e-06,0.9432865,0.0045341915541803
313,0.9999907,7.294518489953046e-06,0.9432544,0.0045474027576188
314,0.9999908,7.249827584161237e-06,0.9432379,0.0045942650217417
315,0.999991,7.224956747286445e-06,0.9431996,0.004599136075395
316,0.9999914,6.9885620838661125e-06,0.9432704,0.0045316730067382
317,0.9999918,6.161168720301042e-06,0.9433210999999998,0.0045073112705913
318,0.9999926,5.660388679250018e-06,0.9433146,0.0045431005755981
319,0.9999927,5.728001396666056e-06,0.9432425,0.0045941953648054
320,0.9999928,5.564171097310968e-06,0.9432275,0.0046014821362252
321,0.9999935,4.944694126043531e-06,0.9432135,0.0045853784194982
322,0.9999935,4.944694126043531e-06,0.9432404,0.0045790068399162
323,0.9999938,4.8744230427928286e-06,0.9432241,0.0045600409526669
324,0.9999941,4.928488612161622e-06,0.9432607,0.0045987790347004
325,0.9999945,4.904079934116726e-06,0.9432353,0.0046113316525706
326,0.9999948,4.955804677367081e-06,0.9433077999999998,0.0046035352024286
327,0.9999951,4.846648326449553e-06,0.9432163999999998,0.0046368556846207
328,0.9999952,4.600000000021736e-06,0.9431977,0.0046580381718058
329,0.9999958,4.069397989873774e-06,0.9431524,0.004657891565934
330,0.9999958,4.069397989873774e-06,0.9431266,0.0046096977601573
331,0.9999958,4.069397989873774e-06,0.9431414,0.0045928311573581
332,0.9999959,4.085339643161818e-06,0.9431697,0.0046672942921997
333,0.9999959,4.085339643161818e-06,0.9431528,0.0046866328381899
334,0.9999963,4.099999999990629e-06,0.9431708,0.0046944301422004
335,0.9999964,3.555277766934788e-06,0.9431907,0.0046809467215511
336,0.9999964,3.852272056862702e-06,0.9431711000000002,0.0046771846114943
337,0.9999965,3.748332962806824e-06,0.9431643,0.0046715007235362
338,0.9999966,3.4985711369081406e-06,0.9431829,0.0046490963734902
339,0.9999967,3.5510561809100044e-06,0.9431919,0.0046644617363635
340,0.9999969,3.505709628583805e-06,0.943246,0.0046001923872812
341,0.999997,3.4351128074621203e-06,0.9432587,0.0045647857572946
