date,momentum,value,portfolio
2016-10-13,0.41,-0.11,1.0735646742113714
2016-10-14,-0.1,0.01,0.0383091963605546
2016-10-17,0.36,-0.31,-0.702792545087236
2016-10-18,-0.1,0.35,1.230125427419556
2016-10-19,-0.21,0.01,0.0911403157363139
2016-10-20,-0.45,-0.35,-0.2686299065164607
2016-10-21,-0.18,-0.08,1.032748213356501
2016-10-24,0.15,0.71,0.7043099389913605
2016-10-25,0.34,-0.47,-0.6877161323765468
2016-10-26,-0.55,-0.31,-0.9484853039746484
2016-10-27,-0.31,-0.3,-1.5713683485693732
2016-10-28,0.35,-0.58,1.4406637957387374
2016-10-31,0.52,-0.03,0.4573372237924608
2016-11-01,-0.03,-0.77,-0.943617798564608
2016-11-02,0.04,-0.36,-0.0760993205779386
2016-11-03,0.71,-0.56,-1.3519533132398598
2016-11-04,-0.39,-0.24,-0.1029940658423243
2016-11-07,-0.43,2.13,2.2526608505731747
2016-11-08,0.6,0.52,0.8975339328896991
2016-11-09,-1.83,1.01,-0.2002234450485103
2016-11-10,-2.51,-0.1,-0.7576151462245335
2016-11-11,-0.83,0.12,-0.1721495496933655
2016-11-14,-1.23,-0.25,-0.4566206488345635
2016-11-15,1.09,0.59,0.9555814617525356
2016-11-16,0.46,0.27,0.3965221998229311
2016-11-17,-0.42,0.5,0.5305483606050818
2016-11-18,0.14,-0.15,-0.5160595089607973
2016-11-21,0.57,0.84,0.5536506015154179
2016-11-22,0.13,0.59,0.9876323790855608
2016-11-23,-0.37,0.11,0.1575472993438715
2016-11-25,-0.13,0.43,0.3784864706594948
2016-11-28,0.51,-0.46,-0.6429983653863397
2016-11-29,0.08,0.16,0.4590639935667748
2016-11-30,0.45,-0.9,-1.284819841577473
2016-12-01,-0.4,-0.47,-1.188168922026935
2016-12-02,0.58,0.05,3.8986886624767383
2016-12-05,-0.21,0.35,0.4187012709185211
2016-12-06,-0.47,0.35,0.3299140185747787
2016-12-07,0.11,1.48,1.1899995790101672
2016-12-08,-0.36,0.07,-0.1825930627916596
2016-12-09,-0.82,0.54,0.2930336659620527
2016-12-12,0.17,-0.24,0.0274284365408925
2016-12-13,-0.08,0.71,0.801328725826545
2016-12-14,-0.25,-0.74,-0.4032595616228986
2016-12-15,0.05,0.29,0.6091261868180416
2016-12-16,-0.65,-0.2,0.2213896517725778
2016-12-19,0.03,0.3,-0.136865066389251
2016-12-20,0.31,0.45,-0.2470336401382432
2016-12-21,0.24,-0.26,-0.02022801221662
2016-12-22,0.17,-0.37,-0.5002131006992273
2016-12-23,-0.35,0.07,0.4381525752292687
2016-12-27,0.14,0.27,0.4304114357023392
2016-12-28,0.08,-0.69,-0.9035247790133047
2016-12-29,0.02,0.0,0.2359542639725727
2016-12-30,-0.21,-0.65,-0.8055509675397557
